id_filme,titulo,palavras_chave,popularidade
74084,Dil Jo Bhi Kahey...,"coolie ghat "".; british left india; upon reaching; mauritius decided; distant mauritius",0.122704
9535,Analyze This,"family ,"" unlucky shrink dr; paul vitti needs help dealing; powerful mafia racketeer; countless wiseguy films; resolve vitti",29.415229
13788,The Unborn,young woman fights; slowly taking possession; spirit,15.788784
849,Krull,home planet; companions set; alien invaders; rescue; prince,9.904881
18701,Being Julia,handsome young american fan; novelty fling adds; julia finds exactly; julia lambert; true diva,1.946634
8416,The Conformist,willed italian man becomes; political dissident; old teacher; goes abroad; fascist flunky,8.429295
10431,War,fbi agent jack crawford; mysterious assassin rogue; rogue turns; years later; violent clash,18.896239
334527,Criminal Activities,four young men make; risky investment together; trouble; puts; mob,6.665164
12138,3000 Miles to Graceland,michael must track; marshals service closing; ingenious enough plan; elvis impersonator convention; con michael zane,11.262655
31535,Chairman of the Board,surfer becomes; major company; head,0.587276
60304,Hansel & Gretel: Witch Hunters,evil far greater; witches ...; ultimate vigilantes; must face; unbeknownst,53.02787
1734,The Mummy Returns,8 year old son alex; newly resurrected imhotep; legendary scorpion king; otherworldly army; new bearer,41.862983
17431,Moon,based manufacturing facility along; three year contract; three weeks left; sam bell; getting anxious,46.114184
19913,(500) Days of Summer,"zooey deschanel ), suddenly dumps; love affair went sour; levitt ), greeting; 500 days together; true passions",45.610993
5516,The Ladykillers,unsuspecting landlord –; sharp old woman; charming southern professor; crew pose; rob,23.666229
26352,A Low Down Dirty Shame,black detective becomes embroiled; encounters various old connections; beautiful old flame; must also deal; missing drug money,3.290639
10586,The Ghost and the Darkness,enlisting noted engineer john henry patterson; famed hunter charles remington; sir robert beaumont; everything seems great; beaumont expects results,12.46525
36647,Blade,resurrect voracious blood god la magra; mentor whistler battle; best human skills; outdated vampire council; good vampire attributes,43.815492
222935,The Fault in Our Stars,patient named augustus waters suddenly appears; final chapter inscribed upon diagnosis; cancer kid support group; shrinking medical miracle; completely rewritten,74.358971
7518,Over the Hedge,scheming raccoon fools; new suburban sprawl; hibernating –; forest creatures; mismatched family,36.32705
18840,The White Countess,"blind american diplomat named jackson; ralph fiennes ),; natasha richardson ),; white countess; russian aristocracy",4.488547
12160,Wyatt Earp,iconic heroes wyatt earp weaves; authentic costumes wyatt earp led; star studded cast; western revival; sweeping cinematography,13.859307
328387,Nerve,seems like harmless fun; industrious high school senior; popular online game nerve; high stakes finale; increasingly dangerous acts,62.933899
18713,The Jerky Boys,two unemployed telephone pranksters decide; crank call fame; chicago mob boss; trouble begins; organized crime,1.735462
11194,Touching the Void,344m siula grande; simon yates; peruvian andes; fatal attempt; documentary based,14.045887
848,Dragonslayer,possible visual effects; fantasy film; disney studios; apprentice galen; king ’,3.258422
22971,Dear John,spring break helping build; 2 week leave; write john overseas; sergeant john tyree; savannah falls deeply,19.402816
40807,50/50,true story; subsequent struggle; old guy; comedy centered; cancer diagnosis,33.372828
4922,The Curious Case of Benjamin Button,starts aging backwards; bizarre consequences; benjamin button; tells; story,60.269279
19899,Couples Retreat,common problems many face; tropical island resort; though one husband; rate vacation turns; couples therapy sessions,26.676487
138832,We're the Millers,veteran pot dealer creates; huge shipment; fake family; weed; u,100.348805
44826,Hugo,train station clocks running; orphan boy living; buried inside regarding; train station; train station,32.319043
4234,Scream 3,sydney must face; stab 3 '.; original woodsboro survivors; murdering spree begins; targeted toward,24.992057
1833,Rent,modern day east village new york; story centers around mark; modern day life; rock opera tells; made roger numb,10.433667
13689,Peaceful Warrior,stranger changes; college gymnast; chance encounter; life,8.326131
12412,Miracle at St. Anna,world war ii; four american soldiers; division stationed; buffalo soldier; black 92nd,11.387408
20862,Smoke Signals,young indian man thomas; wearing oversize glasses; telling everyone stories; arnold soon left; victor hears arnold,2.304552
176077,Enter the Dangerous Mind,young social worker; psychological thriller set; painfully introverted musician; underground dubstep; jim whitman,1.998826
245,About a Boy,year old marcus; one day realizes; single mums; single father; meets 12,28.227984
